"Name","ReleaseYear","LargestPrizePool","LargestTournementName","DateOfTounement","LocationOfTournement","TotalPrizePool","TotalPlayers","TotalTournements"
"Injustice: Gods Among Us","2013","$7,500.00","MLG Anaheim 2014 (Injustice)","2014-06-22","Anaheim, California, USA","35,176.89","101","117"
"Kill la Kill the Game: IF","2019","$470.00","AnimEVO 2019 (Kill la Kill)","2019-08-03","Las Vegas","770.00","9","3"
"Killer Instinct (2013)","2013","$53,970.00","Evo 2015 (Killer Instinct)","2015-07-18","Las Vegas, Nevada, USA","224,416.96","126","52"
"King of Fighters 2002 Unlimited Match","2009","$380.00","Combo Breaker 2016 (KoF2002)","2016-05-29","St. Charles, Illinois, USA","760.00","6","2"
"King of Fighters 98","1998","$7,399.51","NeoGeo World Tour 2 Global Finals (KoF98)","2019-07-14","Taipei, Taiwan","7,945.57","7","3"
"King of Fighters XI","2005","$25.00","Impact Clash IV (KoFXI)","2009-04-25","Atlanta, Georgia, USA","25.00","3","1"
"King of Fighters XIII","2010","$16,700.00","MLG Winter Championship 2012 (KoFXIII)","2012-03-25","Columbus, Ohio, USA","44,724.28","107","43"
"King of Fighters XIV","2016","$17,740.00","Evo 2017 (KoFXIV)","2017-07-14","Las Vegas, Nevada, USA","72,892.09","88","36"
"Koihime Enbu","2016","$590.00","CEOtaku 2018 (Koihimu Enbu)","2018-09-23","Orlando, Florida, USA","1,615.00","12","5"
"Lethal League Blaze","2018","$1,116.75","Stunfest 2019 (LLB)","2019-05-19","Rennes, France","1,872.90","13","6"
"Marvel vs. Capcom 2","2000","$15,000.00","WCW3 MvC2 $15k Money Match","2011-01-16","Orange, California, USA","39,050.00","58","27"
"Marvel vs. Capcom 3","2011","$10,720.00","Evo 2011 (MvC3)","2011-07-31","Las Vegas, Nevada","22,343.62","38","12"
"Marvel vs. Capcom: Infinite","2017","$30,000.00","Battle for the Stones Finals","2017-12-10","Anaheim","42,482.12","49","19"
"Melty Blood: Actress Again","2009","$0.00","Evo 2010 (Melty Blood:AA)","2010-07-11","Las Vegas, Nevada","0.00","10","2"
"Melty Blood: Actress Again Current Code","2010","$1,040.00","Climax of Night [re:run] (MB:AACC)","2019-10-27","Atlanta, GA","6,135.00","33","11"
"Million Arthur: Arcana Blood","2017","$7,000.00","AnimEVO 2019 (MA:AB)","2019-08-03","Las Vegas","7,420.00","6","2"
"Mordhau","2019","$123.00","Ring Viewers Tourney 2v2","2019-07-25","Europe","123.00","0","1"
"Mortal Kombat 11","2019","$100,000.00","Final Kombat 2020","2020-03-08","Chicago","392,602.33","158","37"
"Mortal Kombat 9","2011","$33,400.00","MLG Winter Championship 2012 (Mortal Kombat 9)","2012-03-25","Columbus, Ohio, USA","136,891.67","67","26"
"Mortal Kombat vs. DC Universe","2008","$0.00","WCW3 (MKvDC)","2011-01-16","Orange, California, USA","0.00","3","1"
"Mortal Kombat X","2015","$200,000.00","ESL MKX Pro League Season 3 Finals","2016-06-11","Burbank, California, USA","523,532.42","100","62"
"Mortal Kombat XL","2016","$57,130.00","Evo 2016 (MKXL)","2016-07-17","Las Vegas, Nevada, USA","129,203.79","50","17"
"Mystery Game Tournament","2019","$2,560.00","Combo Breaker 2019 (Mystery)","2019-05-26","Chicago, USA","10,995.00","56","8"
"Naruto Shippuden: Ultimate Ninja Storm 4","2016","$1,000.00","WWG Chicago 2016 (Naruto Shippuden 4)","2016-08-21","Chicago, Illinois, USA","4,550.00","7","5"
"Nitroplus Blasterz: Heroines Infinite Duel","2015","$1,120.00","NorCal Regionals 2016 (NB:HID)","2016-03-27","Sacramento, California, USA","1,994.00","10","4"
"Persona 4 Arena","2012","$4,000.00","Evo 2013 (P4A)","2013-07-12","Las Vegas, Nevada, USA","6,336.63","42","11"
"Persona 4 Arena Ultimax","2013","$14,370.00","Evo 2015 (P4AU)","2015-07-17","Las Vegas, Nevada, USA","18,828.16","58","19"
"Pokkén Tournament","2016","$21,800.00","Evo 2016 (Pokken)","2016-07-17","Las Vegas, Nevada, USA","77,016.66","62","25"
"Pokkén Tournament DX","2017","$5,000.00","Oceania International Championships (Pokken DX)","2019-02-17","Melbourne","20,075.40","41","25"
"Power Rangers: Battle for the Grid","2019","$850.00","Siv's Fighter Tournament 5","2019-06-21","Online","1,050.00","6","2"
"Power Rangers: Legacy Wars","2017","$4,178.55","M Sport Nationals (Power Rangers: Legacy Wars)","2017-12-03","Jönköping, Sweden","4,178.55","2","1"
"Project Justice","2000","$165.00","AnimEVO 2019 (PJ)","2019-08-03","Las Vegas","165.00","3","1"
"Project M","2010","$9,050.00","Paragon Los Angeles 2015 (Project M)","2015-09-06","San Juan, Puerto Rico, USA","205,292.09","560","335"
"Rising Thunder","2015","$1,000.00","SoCal Regionals 2015 (Rising Thunder)","2015-10-11","Ontario, California, USA","1,000.00","3","1"
"Rivals of Aether","2015","$18,092.00","GENESIS 7: RoA","2020-01-26","Oakland, CA","37,587.00","38","12"
"Sailor Moon S","1995","$763.00","Canada Cup 2018 (SMS)","2018-10-28","Toronto","3,191.19","15","10"
"Samurai Shodown (2019)","2019","$47,290.00","Evo 2019 (Samurai Shodown)","2019-08-03","Las Vegas, Nevada, USA","68,009.91","58","15"
"Samurai Shodown V Special","2004","$190.00","CEOtaku 2019 (SSVS)","2019-09-29","Orlando, Florida, USA","490.11","13","4"
"Shovel Knight Showdown","2019","$60.00","Hard Read Ultimate #49 Showdown Singles","2019-12-21","Harrisburg, PA","60.00","3","1"
"Skullgirls","2012","$300.00","CEO 2013 (Skullgirls)","2013-06-30","Orlando, Florida, USA","300.00","3","1"
"Skullgirls 2nd Encore","2015","$4,820.00","Combo Breaker 2019 (SG2nd)","2019-05-26","Chicago, USA","17,871.00","33","11"
"Skullgirls Encore","2014","$4,530.00","Combo Breaker 2016 (SG:Encore)","2016-05-29","St. Charles, Illinois, USA","9,155.40","37","13"
"SNK Heroines: Tag Team Frenzy","2018","$430.00","CEOtaku 2018 (SNK Heroines)","2018-09-23","Orlando, Florida, USA","430.00","3","1"
"Soul Calibur II","2003","$2,700.00","MLG New York Championships 2004 (Soul Calibur II)","2004-10-26","New York City, New York, USA","4,790.00","15","7"
"Soul Calibur II HD Online","2013","$650.00","Combo Breaker 2017 (Soul Calibur II HD)","2017-05-28","St. Charles, Illinois, USA","945.41","29","5"
"Soul Calibur IV","2008","$100,000.00","WCG Ultimate Gamer Season 1","2010-10-03","Los Angeles, California, USA","100,260.00","4","3"
"Soul Calibur V","2012","$16,700.00","MLG Spring Championship 2012 (Soul Calibur V)","2012-06-10","Anaheim, California, USA","60,008.54","78","26"
"Soul Calibur VI","2018","$25,000.00","SoulCalibur World Invitational","2019-11-02","Las Vegas, NV","94,795.21","96","36"
"Street Fighter Alpha 2","1996","$410.00","Combo Breaker 2019 (SFA2)","2019-05-26","Chicago, USA","1,390.00","17","8"
"Street Fighter Alpha 3","1998","$300.00","Summer Jam 12 (SFA3)","2018-09-02","Cherry Hill, NJ, USA","300.00","15","4"
"Street Fighter EX2 Plus","1999","$190.00","Combo Breaker 2019 (SFEX2P)","2019-05-26","Chicago, USA","350.00","5","2"
"Street Fighter III: 3rd Strike","1999","$10,250.00","Evo 2006 (SFIII: 3rd Strike)","2006-08-20","Las Vegas, Nevada","49,278.86","81","34"
"Street Fighter IV","2009","$2,767.21","GODSGARDEN #2","2010-03-06","Tokyo, Japan","7,938.22","41","12"
"Street Fighter V","2016","$380,000.00","Capcom Cup 2017","2017-12-10","Anaheim, United States","2,202,726.43","233","120"
"Street Fighter V: Arcade Edition","2018","$379,500.00","Capcom Cup 2019","2019-12-15","Los Angeles","2,017,135.95","229","100"
"Street Fighter V: Champion Edition","2020","$1,000.00","DreamHack Anaheim 2020 (SFV:CE)","2020-02-23","Anaheim, CA","1,000.00","4","1"
"Street Fighter X Tekken","2012","$53,700.00","Street Fighter 25th Ann. - Grand Finals (SFxT)","2012-12-08","Burlingame, California, USA","84,090.64","115","93"
"Super Smash Bros.","1999","$6,540.00","Super Smash Con (SSB Singles)","2015-08-09","Chantilly, Virginia, USA","68,042.81","233","121"
"Super Smash Bros. Brawl","2008","$35,000.00","MLG Dallas 2010 (SSBB)","2010-11-07","Dallas, Texas, USA","246,715.83","499","344"
"Super Smash Bros. for Wii U","2014","$50,000.00","2GGC","2017-12-03","Santa Ana, California, USA","1,511,976.47","1264","1022"
"Super Smash Bros. Melee","2001","$83,758.00","Smash Summit 5 (Singles)","2017-11-05","Los Angeles, California","3,181,748.69","1875","2604"
"Super Smash Bros. Ultimate","2018","$51,995.72","Smash Ultimate Summit (Singles)","2019-03-10","Los Angeles, USA","1,275,543.66","1834","1135"
"Super Street Fighter II Turbo","1994","$10,250.00","Evo 2007 (SSFII Turbo)","2007-08-26","Las Vegas, Nevada","23,678.05","104","44"
"Super Street Fighter II Turbo HD Remix","2008","$10,000.00","Street Fighter 25th Ann. - Grand Finals (SFII Turbo HD)","2012-12-08","Burlingame, California, USA","16,360.00","29","8"
"Super Street Fighter IV","2010","$14,000.00","ESWC 2010 (SSF IV)","2010-07-04","Paris, France","20,877.30","40","16"
"Super Street Fighter IV Arcade Edition","2010","$53,700.00","Street Fighter 25th Ann. - Grand Finals (SSFIV:AE)","2012-12-08","Burlingame, California, USA","343,878.08","153","202"
"Tatsunoko vs. Capcom: Ultimate All-Stars","2010","$290.00","Frosty Faustings XI: Tatsunoko vs. Capcom: Ultimate All-Stars","2019-01-19","Elmhurst","1,330.81","13","8"
"Teenage Mutant Ninja Turtles: Tournament Fighters","1993","$500.00","Combo Breaker 2019 (TMNT)","2019-05-26","Chicago, USA","820.00","7","2"
"Tekken 4","2001","$12,500.00","IVGF Northwest Regional (Tekken 4)","2003-03-01","Seattle, Washington, United States","12,500.00","4","4"
"Tekken 5","2004","$10,250.00","Evo 2006 (Tekken 5)","2006-08-20","Las Vegas, Nevada","10,250.00","10","9"
"Tekken 5: Dark Resurrection","2006","$10,250.00","Evo 2007 (Tekken 5:DR)","2007-08-26","Las Vegas, Nevada, USA","12,180.00","18","5"
"Tekken 6","2007","$35,000.00","MLG Dallas 2010 (Tekken 6)","2010-11-07","Dallas, Texas, USA","119,874.64","59","30"
"Tekken 7","2015","$250,000.00","TWT Finals 2019","2019-12-08","Bangkok, Thailand","1,592,472.65","386","195"
"Tekken Tag Tournament","1999","$0.00","Evo 2003 (TTT)","2003-08-10","Pomona, California","0.00","7","4"
"Tekken Tag Tournament 2","2011","$21,100.00","E-Stars TTT2 Global Championship","2012-07-28","Seoul, South Korea","125,965.70","142","138"
"Them's Fightin' Herds","2018","$190.00","CEOtaku 2019 (TFH)","2019-09-29","Orlando, Florida, USA","190.00","3","1"
"TowerFall: Ascension","2013",NA,NA,NA,NA,"0.00","0","0"
"Ultimate Marvel vs. Capcom 3","2011","$13,020.00","Evo 2013 (UMvC3)","2013-07-14","Las Vegas, Nevada, USA","116,733.16","190","169"
"Ultimate Mortal Kombat 3","1995","$150.00","Combo Breaker 2015 (UMK3)","2015-05-24","Rosemont, Illinois, USA","150.00","6","2"
"Ultra Fight Da! Kyanta 2","2019","$320.00","AnimEVO 2019 (UFDK2)","2019-08-03","Las Vegas","320.00","3","1"
"Ultra Street Fighter IV","2014","$250,000.00","Capcom Cup 2015","2015-12-06","San Francisco, California, USA","816,673.46","226","227"
"Umineko: Golden Fantasia","2010","$90.00","AnimEVO 2019 (U:GF)","2019-08-03","Las Vegas","90.00","3","1"
"Under Night In-Birth EXE: Late","2014","$1,270.00","Anime Ascension (UNIEL)","2016-02-28","Irvine, California, USA","6,025.76","52","23"
"Under Night In-Birth EXE: Late[st]","2015","$11,570.00","Evo 2019 (UNIST)","2019-08-03","Las Vegas, Nevada, USA","46,553.33","98","34"
"Under Night In-Birth Exe:Late[cl-r]","2020","$1,000.00","DreamHack Anaheim 2020 (UNICLR)","2020-02-23","Anaheim, CA","1,000.00","4","1"
"Vampire Savior","1997","$1,370.00","Combo Breaker 2018 (VS)","2018-05-27","St. Charles, IL, USA","8,038.74","27","15"
"Virtua Fighter 4: Evolution","2002","$0.00","Evo 2003 (Virtua Fighter 4)","2003-08-10","Pomona, California","0.00","6","3"
"Virtua Fighter 5","2007","$17,500.00","WCG 2008 (Virtua Fighter 5)","2008-11-09","Cologne, Germany","39,830.00","14","7"
"Virtua Fighter 5 Final Showdown","2010","$160.00","Electric Cancel 2019 (VF5:FS)","2019-10-06","Santa Ana","573.77","28","6"
"WWE 2K20","2019","$40,000.00","Twitch Rivals WWE 2K20 Showdown - Bracket","2019-10-23","Online","50,000.00","20","2"
"Asphalt 4","2008","$17,500.00","WCG 2008 (Asphalt 4)","2008-11-09","Cologne, Germany","29,500.00","5","2"
"Asphalt 9: Legends","2018","$31,900.00","Milan Games Week 2019","2019-09-28","Milan, Italy","51,520.00","5","2"
"Assetto Corsa","2014","$30,996.00","Formula V Challenge Final 2019/20","2020-01-19","Cham, Switzerland","164,776.10","68","25"
"Assetto Corsa Competizione","2018",NA,NA,NA,NA,"0.00","0","0"
"Dirt Rally 2.0","2019","$5,000.00","World Rally Championship 2020","2020-01-12","Birmingham, United Kingdom","10,000.00","5","2"
"F1 2018","2018","$200,000.00","F1 Esports 2018","2018-11-17","London, Great Britain","200,000.00","21","1"
"F1 2019","2019","$500,000.00","F1 Esports Pro Series 2019","2019-12-04","London, United Kingdom","538,047.38","25","2"
"Forza Motorsport 2","2007","$207,000.00","CGS 2008 (Forza Motorsport 2)","2008-07-28","Santa Monica, California, USA","222,000.00","17","2"
"Forza Motorsport 3","2009","$11,000.00","WCG 2010 (Forza Motorsport 3)","2010-10-03","Los Angeles, California, USA","11,000.00","3","2"
"Forza Motorsport 4","11","$132.37","Assembly Winter 2012 (Forza Motorsport 4)","2012-02-25","Helsinki, Finland","132.37","2","1"
"Forza Motorsport 6","2015","$35,800.00","Forza Racing Championship Season 2 Grand Final","2016-12-11","N/A","42,350.00","35","9"
"Forza Motorsport 7","2017","$230,000.00","ForzaRC IS 2019 F","2019-11-24","Burbank, USA","645,200.00","102","9"
"Gran Turismo 3: A-Spec","2001","$1,750.00","MLG New York Championships 2004 (GT3)","2004-10-26","New York City, New York, USA","3,250.00","4","2"
"Gran Turismo 4","2004","$32,000.00","ESWC 2006 (Gran Turismo 4)","2006-07-02","Paris, France","44,000.00","5","2"
"Gran Turismo Sport","2017","$3,465.00","GP eRacing Series 2019","2019-12-08","Bangkok, Thailand","4,020.00","9","2"
"GRID (2019)","2019","$218.75","GRID Arena Cup","2019-12-06","multiple UK locations","218.75","3","1"
"iRacing.com","2008","$112,000.00","eNPAiS 2019","2019-10-08","Online","882,787.78","620","82"
"KartRider","2004","$71,668.00","KartRider League Dual Race 2016 (Team Ranking)","2016-11-05","Seoul, Korea","567,366.35","76","20"
"Live for Speed","2003","$2,491.62","EPS Germany 3 Finals (LFS)","2003-12-14","Cologne, Germany","9,219.14","16","8"
"Mad Skills Motocross 2","2017","$20,163.00","Mad Skill Motocross 2 World Championship","2017-01-05","Stockholm, Sweden","20,163.00","12","1"
"Mario Kart 8 Deluxe","2017","$700.00","SNS50","2020-01-11","HyperX Esports Arena Las Vegas","1,754.44","30","4"
"NASCAR Thunder 2002","2001","$7,679.25","EPS Germany 1 Finals (NASCAR 2002)","2002-12-15","Cologne, Germany","7,679.25","0","1"
"NASCAR Thunder 2003","2002","$5,933.50","EPS Germany 2 Finals (NASCAR 2003)","2003-06-15","Cologne, Germany","5,933.50","0","1"
"Need for Speed Carbon","2006","$20,000.00","WCG 2007 (NfS:Carbon)","2007-10-07","Seattle, Washington, USA","36,322.58","12","4"
"Need for Speed: Most Wanted","2005","$27,000.00","WCG 2006 (NfS:MW)","2006-10-22","Monza, Italy","35,694.54","18","7"
"Need for Speed: ProStreet","2007","$17,500.00","WCG 2008 (NfS:PS)","2008-11-09","Cologne, Germany","32,208.46","12","3"
"Need for Speed: Shift","2009","$10,500.00","ESWC 2010 (NfS:Shift)","2010-07-04","Paris, France","10,500.00","3","1"
"Need for Speed: Underground","2003","$35,000.00","WCG 2004 (NfS:Underground)","2004-10-10","San Francisco, California, USA","35,000.00","3","1"
"Need for Speed: Underground 2","2004","$35,000.00","WCG 2005 (NfS:U2)","2005-11-20","Suntec City, Singapore","35,000.00","6","3"
"Project Cars","2015","$6,200.00","LGCS 2016 Console","2016-11-14","Online","41,523.71","39","109"
"Project Cars 2","2017","$19,320.00","2019 Playseat® SMS-R Series - PRO","2019-05-11","London, United Kingdom","66,150.00","37","22"
"Project Gotham Racing 2","2003","$35,000.00","WCG 2004 (PGR2)","2004-10-10","San Francisco, California, USA","35,000.00","4","2"
"Project Gotham Racing 3","2005","$191,000.00","CGS 2007 (PGR3)","2007-12-15","Culver City, California, USA","297,286.85","33","10"
"Project Gotham Racing 4","2007","$17,500.00","WCG 2008 (PGR 4)","2008-11-09","Cologne, Germany","25,208.46","5","4"
"RaceRoom Racing Experience","2013","$18,080.00","WTCR LE 2018 - MC  D1","2018-05-12","online","85,218.70","142","17"
"rFactor 2","2013","$1,000,000.00","2017 Las Vegas eRace","2017-01-07","Las Vegas, USA","1,156,950.81","137","29"
"Trackmania (2020)","2020","$56.21","Marius89 2k89 Followers Cup","2020-07-06","Online","56.21","3","1"
"TrackMania 2: Canyon","2011","$10,000.00","ESWC 2012 (TM2: Canyon)","2012-11-03","Paris, France","22,098.74","21","36"
"TrackMania 2: Stadium","2013","$15,000.00","ESWC PGW Open (TrackMania 2: Stadium)","2015-11-01","Paris, France","198,035.21","342","278"
"Trackmania 2: Valley","2013","$540.66","Gamers Assembly 2015 (TM2: Valley)","2015-04-06","Poitiers, France","779.34","6","2"
"TrackMania Nations","2006","$40,000.00","TMN Verizon Playlinc","2006-11-16","Online","93,381.66","18","8"
"TrackMania Nations Forever","2008","$23,000.00","ESWC 2008 (TrackMania Nations Forever)","2008-08-27","San José, California, USA","164,729.30","109","71"
"Trackmania Turbo","2016","$566.91","TrackMania Turbo Launch Tournament","2016-04-16","Online","566.91","3","1"
"Trackmania United","2006","$1,027.50","Cyber-meeting 2007","2007-11-03","France","1,027.50","3","1"
"Trackmania United Forever","2008","$0.00","Gamers Assembly 2011 (TM United Forever)","2011-04-25","Épinal, France","0.00","0","0"
"Trials Fusion","2014",NA,NA,NA,NA,"0.00","0","0"
"Turbo Racing League","2013","$500,000.00","Turbo Racing League $1,000,000 Shell-Out (Final Race)","2013-07-17","Los Angeles, California, USA","1,000,000.00","16","9"
"Carom 3D","1999","$20,000.00","WCG 2007 (Carom 3D)","2007-10-07","Seattle, Washington, USA","60,500.00","11","4"
"Dream league Soccer","2019",NA,NA,NA,NA,"0.00","0","0"
"FIFA 03","2002","$35,000.00","WCG 2003 (FIFA 2003)","2003-10-18","Seoul, South Korea","54,066.44","10","3"
"FIFA 04","2003","$40,000.00","WCG 2004 (FIFA 2004)","2004-10-10","San Francisco, California, USA","40,000.00","3","3"
"FIFA 05","2004","$35,000.00","WCG 2005 (FIFA 2005)","2005-11-20","Suntec City, Singapore","57,728.01","5","8"
"FIFA 06","2005","$27,000.00","WCG 2006 (FIFA 06)","2006-10-22","Monza, Italy","110,764.53","21","10"
"FIFA 07","2006","$95,500.00","CGS 2007 (FIFA 07)","2007-12-15","Culver City, California, USA","237,812.23","42","13"
"FIFA 08","2007","$91,000.00","CGS 2008 (FIFA 08)","2008-07-28","Santa Monica, California, USA","207,129.94","68","17"
"FIFA 09","2008","$38,402.95","VFBL Season 1","2009-02-08","Cologne, Germany","121,618.34","52","19"
"FIFA 10","2009","$26,000.00","FIFA Interactive World Cup 2010","2010-05-01","Barcelona, Spain","117,026.71","64","48"
"FIFA 11","2010","$26,000.00","FIFA Interactive World Cup 2011","2011-06-09","Los Angeles, CA, USA","93,983.77","72","78"
"FIFA 12","2011","$26,000.00","FIFA Interactive World Cup 2012","2012-05-23","Dubai, Qatar","54,431.52","53","66"
"FIFA 13","2012","$400,000.00","Virgin Gaming FIFA Challenge 2013","2013-02-09","Las Vegas, Nevada, USA","458,427.82","53","62"
"FIFA 14","2013","$26,000.00","FIFA Interactive World Cup 2014","2014-07-04","Rio de Janeiro, Brazil","96,347.81","57","69"
"FIFA 15","2014","$26,000.00","FIFA Interactive World Cup 2015","2015-05-19","Munich, Germany","144,373.99","169","352"
"FIFA 16","2015","$26,000.00","FIFA Interactive World Cup 2016","2016-03-22","New York City, USA","117,828.11","61","28"
"FIFA 17","2016","$400,000.00","FUT Championship 2017 - Finals 2017","2017-05-20","Berlin, Germany","1,482,612.63","156","48"
"FIFA 18","2017","$400,000.00","FIFA eWorld Cup 2018 - Grand Finals","2018-08-04","London, United Kingdom","2,233,697.69","238","48"
"FIFA 19","2018","$500,000.00","FIFA eWorld Cup 2019 - Grand Final","2019-08-04","London, United Kingdom","3,242,642.34","303","48"
"FIFA 20","2019","$200,000.00","FUT Champions Cup Stage 1 - Bucharest 2019","2019-11-10","Bucharest, Romania","1,068,673.72","239","38"
"FIFA 2000","1999","$50,000.00","WCG Challenge 2000 (FIFA 2000)","2000-10-15","Seoul, South Korea","50,000.00","4","1"
"FIFA 2001","2000","$35,000.00","WCG 2001 (FIFA 2001)","2001-12-09","Seoul, South Korea","46,000.00","9","2"
"FIFA 2002 World Cup","2002","$43,000.00","WCG 2002 (2002 FIFA World Cup)","2002-11-03","Daejeon, South Korea","43,000.00","8","1"
"FIFA Online 3","2012","$500,000.00","EA Champions Cup Winter 2016","2016-12-18","Bangkok, Thailand","1,434,341.90","89","9"
"FIFA Online 4","2018","$240,000.00","EA Champions Cup Winter 2018","2018-11-17","Seoul / Busan (South Korea)","679,240.00","84","4"
"Guitar Hero 5","2009","$10,500.00","ESWC 2010 (GH5)","2010-07-04","Paris, France","10,500.00","3","1"
"Guitar Hero III: Legends of Rock","2007","$19,000.00","Rock the Lake Guitar Hero Tournament","2008-06-08","Shakopee, Minnesota, US (Mystic Lake Casino)","19,000.00","8","2"
"Guitar Hero: World Tour","2008",NA,NA,NA,NA,"0.00","0","0"
"Just Dance 2014","2014","$0.00","ESWC 2014 (Just Dance)","2014-11-02","Paris, France","0.00","3","1"
"Madden NFL 19","2018","$85,000.00","Madden 19 Bowl","2019-04-27","Redwood, CA","125,000.00","5","3"
"Madden NFL 2004","2003","$1,500.00","MLG New York 2004 (Madden 2004)","2003-10-26","New York City, New York, USA","1,500.00","3","1"
"Madden NFL 2006","2005","$100,000.00","ESPN2 Madden Nation Season 1","2006-01-03","Times Square, New York City (Final)","100,000.00","1","1"
"Madden NFL 2007","2006","$100,000.00","ESPN2 Madden Nation Season 2","2007-01-03","Times Square, New York City (Final)","100,000.00","1","1"
"Madden NFL 2008","2007","$100,000.00","ESPN2 Madden Nation Season 3","2007-10-30","Times Square, New York City (Final)","100,000.00","1","1"
"Madden NFL 2009","2008","$100,000.00","ESPN2 Madden Nation Season 4","2008-10-28","Times Square, New York City (Final)","100,000.00","1","1"
"Madden NFL 2013","2012","$400,000.00","Virgin Gaming MADDEN Challenge 2013","2013-02-09","Las Vegas, Nevada, USA","400,000.00","8","1"
"Madden NFL 2016","2015","$50,000.00","Madden NFL 16 Championship","2016-06-15","Los Angeles, CA","50,000.00","8","1"
"Madden NFL 2017","2016","$500,000.00","Madden Championship 2017","2017-05-14","Burbank, CA, USA","1,004,000.00","42","5"
"Madden NFL 2018","2017","$259,000.00","Madden Club Championship","2018-02-01","online","279,676.62","40","3"
"Mario Tennis Aces","2018","$51.30","FTVOC2 MTA","2019-01-13","Online","51.30","3","1"
"NBA 2K Online","2012","$0.00","NESO 2014 (NBA 2K Online)","2014-12-07","Qingdao, China","0.00","0","0"
"NBA 2K18","2017","$600,000.00","NBA 2K League 2018 Playoffs","2018-08-25","New York City, USA","1,000,000.00","91","4"
"NBA 2K19","2018",NA,NA,NA,NA,"0.00","0","0"
"NHL '94","1993","$1,345.60","King of '94 (Genesis)","2015-09-12","Toronto, Ontario, Canada","3,818.56","25","8"
"NHL 12","2011","$570.56","LanTrek 2012 (NHL 12)","2012-01-15","Tampere, Finland","702.93","6","2"
"NHL 13","2012","$70,000.00","Virgin Gaming NHL Challenge 2013","2013-02-09","Las Vegas, Nevada, USA","70,000.00","1","1"
"NHL 14","2013","$1,822.40","UGC Niagara 2014 (NHL 14)","2014-05-04","Niagara Falls, Ontario, Canada","3,023.96","6","3"
"NHL 15","2014","$1,765.26","UGC Niagara 2015 (NHL 15)","2015-04-26","Niagara Falls, Ontario, Canada","3,157.16","3","3"
"NHL 17","2016",NA,NA,NA,NA,"0.00","0","0"
"NHL 18","2017","$85,000.00","NHL Gaming World Championship","2018-06-26","Las vegas","102,700.00","20","6"
"NHL 19","2018","$7,500.00","Leafs Gaming Finals","2019-01-03","Toronto, Canada","22,566.67","10","8"
"Pro Evolution Soccer 2008","2007","$1,390.10","EPS France IV (PES 2008)","2008-03-23","Poitiers, France","2,084.15","6","3"
"Pro Evolution Soccer 2009","2008","$713.06","EMS Season IV (PES09)","2009-08-02","online","1,395.97","5","2"
"Pro Evolution Soccer 2013","2012",NA,NA,NA,NA,"0.00","0","0"
"Pro Evolution Soccer 2014","2013","$29,410.25","PES 2014 World Finals","2014-07-02","Manchester, UK","29,410.25","4","1"
"Pro Evolution Soccer 2015","2014","$26,544.76","PES 2015 World Finals","2015-06-10","Berlin, Germany","26,544.76","3","1"
"Pro Evolution Soccer 2016","2015","$25,995.57","PES 2016 World Finals","2016-05-27","Milano, Italy","27,243.84","17","6"
"Pro Evolution Soccer 2017","2016","$350,000.00","PES 2017 World Finals","2017-06-02","London, UK","514,697.71","39","16"
"Pro Evolution Soccer 2018","2017","$174,000.00","PES 2018 World Finals (3v3)","2018-07-22","Barcelona, Spain","250,000.00","20","3"
"Pro Evolution Soccer 2019","2019","$157,200.00","PES 2019 World Finals (3v3)","2019-06-29","London, UK","216,000.00","25","2"
"Pro Evolution Soccer 3","2003","$25,000.00","ESWC 2004 (PES3)","2004-07-11","Poitiers, France","25,000.00","8","2"
"Pro Evolution Soccer 4","2004","$40,000.00","ESWC 2005 (PES4)","2005-07-10","Paris, France","40,550.64","11","2"
"Pro Evolution Soccer 5","2005","$32,000.00","ESWC 2006 (PES5)","2006-07-02","Paris, France","32,000.00","4","1"
"Pro Evolution Soccer 6","2006","$19,000.00","ESWC 2007 (PES6)","2007-07-08","Paris, France","20,216.82","5","2"
"Rocket League","2015","$529,500.00","RLCS Season 7 - Finals","2019-06-23","Newark, NJ, USA","8,974,653.73","980","1050"
"Soccer Stars","2018",NA,NA,NA,NA,"0.00","0","0"
"Artifact","2018","$15,000.00","WePlay! Artifact Mighty Triad: Agility","2019-01-20","Online","119,093.54","275","165"
"Faeria","2017",NA,NA,NA,NA,"0.00","0","0"
"Gwent","2016","$100,000.00","GWENT Challenger #1","2017-05-13","Katowice, Poland","820,757.17","317","109"
"Hand of the Gods","2017","$50,000.00","Hand of the Gods Founder’s Tournament","2018-01-07","Atlanta, United States","94,434.20","48","36"
"Hearthstone","2014","$1,000,000.00","BlizzCon 2016 (Hearthstone)","2016-11-05","Burbank / Anaheim, California, USA","21,655,336.92","2364","876"
"Legends of Runeterra","2020","$12,075.00","Legends of Runeterra Invitational 2020","2020-03-17","Online","18,481.03","14","3"
"Magic: The Gathering Arena","2018","$1,000,000.00","Magic World Championship XXVI","2020-02-16","Honolulu, United States","5,512,000.00","232","36"
"Magic: The Gathering Online","2002","$200,000.00","2017 Magic Online Championship","2018-03-04","Seattle, USA","1,218,000.00","130","10"
"Pokémon TCG","1996",NA,NA,NA,NA,"0.00","0","0"
"Shadowverse","2016","$1,387,727.29","Shadowverse World Grand Prix 2019","2019-12-27","Tokyo, Japan and Saitama, Japan","3,211,177.09","239","42"
"Shardbound","2017",NA,NA,NA,NA,"0.00","0","0"
